,trump,clinton,taxes,immigration,pence,kaine,gun,obamacare,russia,trumpWinner,trumpMargin
ME,89,83,95,57,56,54,77,72,72,False,-0.032
NE,62,66,61,62,45,56,71,54,71,True,0.271
CO,78,72,57,53,61,45,70,51,68,False,-0.054000000000000006
OK,62,72,62,50,48,27,80,87,63,True,0.386
WI,73,67,71,45,46,75,73,61,56,True,0.008
MN,86,74,66,49,60,66,69,52,62,False,-0.017
NJ,91,91,83,68,51,51,48,65,58,False,-0.146
MO,72,76,70,42,48,51,81,100,58,True,0.196
IL,66,69,64,49,45,41,60,58,49,False,-0.18
KS,62,67,52,32,51,60,66,79,57,True,0.222
AR,66,83,66,64,40,37,75,58,59,True,0.28600000000000003
OH,74,80,62,40,59,48,66,61,54,True,0.085
GA,66,67,61,46,51,49,74,73,53,True,0.053
LA,62,65,60,36,54,38,66,76,54,True,0.203
FL,87,84,72,65,71,67,68,99,54,True,0.012
KY,73,73,73,35,45,57,99,61,58,True,0.313
SC,64,71,85,44,34,33,70,52,48,True,0.149
NH,100,86,66,50,99,47,70,83,94,False,-0.004
TX,62,65,60,57,36,35,69,69,47,True,0.094
MT,67,75,66,28,65,51,86,47,56,True,0.222
CT,89,97,85,68,49,58,60,50,57,False,-0.14300000000000002
NM,75,69,44,58,41,40,73,77,53,False,-0.09300000000000001
AL,63,72,66,47,60,47,83,94,48,True,0.287
WV,77,74,100,31,47,22,92,67,80,True,0.44299999999999995
AZ,73,77,67,53,52,100,71,77,57,True,0.038
WY,66,69,30,77,39,61,82,51,69,True,0.514
AK,73,77,73,56,57,59,100,61,100,True,0.168
SD,58,71,89,39,52,79,93,99,65,True,0.319
HI,60,59,55,52,50,52,57,40,44,False,-0.349
OR,78,67,53,47,61,51,66,33,62,False,-0.12300000000000001
VA,75,72,77,64,66,90,66,67,56,False,-0.057
ND,70,70,51,51,26,81,70,45,49,True,0.396
DC,96,100,71,100,64,93,65,51,71,False,-0.914
WA,77,71,56,61,35,40,62,66,59,False,-0.17600000000000002
MA,85,85,67,69,55,47,49,42,68,False,-0.293
MD,76,80,75,77,47,73,55,83,61,False,-0.28
NC,78,86,68,39,56,61,84,74,47,True,0.038
IA,74,91,66,66,59,68,74,71,65,True,0.10099999999999999
